Job_ID,Job_Title,Job_Sector,District,Skills_Required,Experience_Level,Salary_Monthly,Job_Count,Company_Name,Employment_Type,Education_Requirement,Industry,Remote_Option,IT_or_Non_IT
TN100,Mechanical Engineer,Manufacturing,Vellore,CAD;SolidWorks,Senior,63059,104,Cognizant,Internship,Master's,Healthcare,No,Non-IT
TN101,Teacher,Education,Tuticorin,Subject Knowledge;B.Ed,Senior,63106,82,TVS Motors,Internship,Master's,Marketing,No,Non-IT
TN102,Sales Executive,Retail,Chennai,Communication;CRM,Entry,21886,109,Amazon,Internship,PhD,Information Technology,No,Non-IT
TN103,Teacher,Education,Salem,Subject Knowledge;B.Ed,Entry,23932,88,Infosys,Contract,Diploma,Engineering,Yes,Non-IT
TN104,HR Executive,Corporate,Vellore,HRMS;Recruitment,Senior,50100,136,TVS Motors,Internship,Master's,Finance,Yes,Non-IT
TN105,Web Developer,IT,Coimbatore,HTML;CSS;JavaScript,Senior,47064,56,Amazon,Part-Time,Master's,Education,Yes,IT
TN106,AI Engineer,IT,Erode,Python;ML;TensorFlow,Mid,32801,121,TCS,Part-Time,PhD,Finance,Yes,IT
TN107,Sales Executive,Retail,Trichy,Communication;CRM,Senior,63831,135,Infosys,Part-Time,PhD,Healthcare,Yes,Non-IT
TN108,Content Writer,Media,Salem,Writing;SEO;Grammar,Entry,23570,75,L&T,Part-Time,Diploma,Finance,No,Non-IT
TN109,Pharmacist,Healthcare,Vellore,Pharmacy Degree;Licensing,Mid,29533,106,HDFC Bank,Internship,Not Specified,Media,No,Non-IT
TN110,HR Executive,Corporate,Erode,HRMS;Recruitment,Entry,20422,81,Zoho,Internship,Diploma,Retail,Yes,Non-IT
TN111,Teacher,Education,Madurai,Subject Knowledge;B.Ed,Mid,37770,130,Apollo Hospitals,Part-Time,Master's,Information Technology,No,Non-IT
TN112,Mechanical Engineer,Manufacturing,Coimbatore,CAD;SolidWorks,Entry,26293,146,Cognizant,Internship,Diploma,Construction,No,Non-IT
TN113,Nurse,Healthcare,Chennai,Patient Care;Nursing Degree,Mid,39067,91,Zoho,Internship,PhD,Construction,No,Non-IT
TN114,Logistics Coordinator,Transport,Tiruppur,Inventory;Coordination,Senior,65380,114,L&T,Part-Time,Not Specified,Media,No,Non-IT
TN115,AI Engineer,IT,Salem,Python;ML;TensorFlow,Mid,29504,121,Cognizant,Contract,Diploma,Healthcare,Yes,IT
TN116,HR Executive,Corporate,Tuticorin,HRMS;Recruitment,Senior,57164,54,HDFC Bank,Full-Time,PhD,Retail,Yes,Non-IT
TN117,Pharmacist,Healthcare,Vellore,Pharmacy Degree;Licensing,Senior,54880,115,L&T,Internship,Master's,Healthcare,Yes,Non-IT
TN118,Sales Executive,Retail,Coimbatore,Communication;CRM,Senior,66090,51,Cognizant,Part-Time,Master's,Engineering,No,Non-IT
TN119,Logistics Coordinator,Transport,Erode,Inventory;Coordination,Mid,38045,95,Apollo Hospitals,Part-Time,Not Specified,Finance,Yes,Non-IT
TN120,Sales Executive,Retail,Tiruppur,Communication;CRM,Senior,60681,144,BYJU'S,Part-Time,PhD,Transport,Yes,Non-IT
TN121,Nurse,Healthcare,Coimbatore,Patient Care;Nursing Degree,Senior,48557,100,TVS Motors,Internship,Not Specified,Retail,Yes,Non-IT
TN122,Electrician,Skilled Trade,Salem,Electrical Wiring;License,Mid,33838,129,Infosys,Internship,Not Specified,Marketing,Yes,Non-IT
TN123,Sales Executive,Retail,Trichy,Communication;CRM,Mid,32366,111,TVS Motors,Part-Time,Bachelor's,Construction,No,Non-IT
TN124,Electrician,Skilled Trade,Trichy,Electrical Wiring;License,Entry,21051,71,BYJU'S,Part-Time,Not Specified,Construction,Yes,Non-IT
TN125,Teacher,Education,Vellore,Subject Knowledge;B.Ed,Senior,64781,146,Amazon,Contract,Bachelor's,Marketing,No,Non-IT
TN126,AI Engineer,IT,Vellore,Python;ML;TensorFlow,Entry,27605,137,TVS Motors,Part-Time,Not Specified,Finance,Yes,IT
TN127,Logistics Coordinator,Transport,Erode,Inventory;Coordination,Mid,29496,137,Apollo Hospitals,Internship,PhD,Construction,No,Non-IT
TN128,Nurse,Healthcare,Tiruppur,Patient Care;Nursing Degree,Senior,53829,54,L&T,Full-Time,Master's,Retail,No,Non-IT
TN129,Logistics Coordinator,Transport,Trichy,Inventory;Coordination,Senior,68268,134,Apollo Hospitals,Contract,Master's,Healthcare,Yes,Non-IT
TN130,HR Executive,Corporate,Tuticorin,HRMS;Recruitment,Senior,58784,68,Amazon,Part-Time,PhD,Construction,Yes,Non-IT
TN131,Electrician,Skilled Trade,Coimbatore,Electrical Wiring;License,Entry,25973,79,Amazon,Contract,Bachelor's,Media,Yes,Non-IT
TN132,Accountant,Finance,Erode,Tally;GST;Excel,Entry,26296,138,HDFC Bank,Internship,Not Specified,Retail,No,Non-IT
TN133,Civil Engineer,Construction,Coimbatore,AutoCAD;Project Mgmt,Senior,66074,71,BYJU'S,Contract,Not Specified,Healthcare,Yes,Non-IT
TN134,HR Executive,Corporate,Salem,HRMS;Recruitment,Entry,23122,68,Apollo Hospitals,Full-Time,Not Specified,Education,Yes,Non-IT
TN135,Mechanical Engineer,Manufacturing,Erode,CAD;SolidWorks,Mid,37499,128,TVS Motors,Full-Time,PhD,Media,No,Non-IT
TN136,Electrician,Skilled Trade,Salem,Electrical Wiring;License,Entry,21462,104,TVS Motors,Full-Time,Bachelor's,Education,No,Non-IT
TN137,Web Developer,IT,Madurai,HTML;CSS;JavaScript,Mid,37762,84,TCS,Full-Time,Master's,Engineering,Yes,IT
TN138,Mechanical Engineer,Manufacturing,Tuticorin,CAD;SolidWorks,Senior,62947,62,L&T,Contract,Master's,Retail,Yes,Non-IT
TN139,Logistics Coordinator,Transport,Salem,Inventory;Coordination,Entry,27818,58,Cognizant,Full-Time,Master's,Transport,No,Non-IT
TN140,Content Writer,Media,Trichy,Writing;SEO;Grammar,Senior,66501,54,TVS Motors,Contract,Not Specified,Finance,Yes,Non-IT
TN141,Digital Marketer,Marketing,Madurai,SEO;Google Ads;Content,Senior,48807,132,Amazon,Internship,Diploma,Construction,Yes,Non-IT
TN142,Teacher,Education,Tiruppur,Subject Knowledge;B.Ed,Senior,52486,135,Apollo Hospitals,Part-Time,Diploma,Construction,Yes,Non-IT
TN143,Web Developer,IT,Trichy,HTML;CSS;JavaScript,Senior,58040,95,Zoho,Full-Time,Master's,Retail,No,IT
TN144,AI Engineer,IT,Erode,Python;ML;TensorFlow,Entry,23518,94,TVS Motors,Internship,PhD,Transport,Yes,IT
TN145,Pharmacist,Healthcare,Tuticorin,Pharmacy Degree;Licensing,Entry,25475,125,Amazon,Contract,Bachelor's,Retail,Yes,Non-IT
TN146,Content Writer,Media,Tiruppur,Writing;SEO;Grammar,Senior,53642,134,TCS,Internship,Diploma,Transport,Yes,Non-IT
TN147,Civil Engineer,Construction,Chennai,AutoCAD;Project Mgmt,Entry,22315,57,Cognizant,Internship,Bachelor's,Finance,Yes,Non-IT
TN148,Pharmacist,Healthcare,Trichy,Pharmacy Degree;Licensing,Mid,33585,135,HDFC Bank,Full-Time,Bachelor's,Media,Yes,Non-IT
TN149,Web Developer,IT,Vellore,HTML;CSS;JavaScript,Mid,29479,102,HDFC Bank,Full-Time,Diploma,Transport,Yes,IT
TN150,Civil Engineer,Construction,Salem,AutoCAD;Project Mgmt,Entry,20201,121,TVS Motors,Internship,Diploma,Engineering,No,Non-IT
TN151,Data Analyst,IT,Madurai,Python;SQL;Excel,Entry,27641,63,BYJU'S,Internship,Diploma,Construction,No,IT
TN152,Nurse,Healthcare,Salem,Patient Care;Nursing Degree,Mid,34071,51,HDFC Bank,Internship,Not Specified,Finance,Yes,Non-IT
TN153,Data Analyst,IT,Tuticorin,Python;SQL;Excel,Entry,19366,117,Infosys,Part-Time,Bachelor's,Information Technology,Yes,IT
TN154,Accountant,Finance,Tuticorin,Tally;GST;Excel,Entry,22819,150,L&T,Full-Time,Diploma,Media,No,Non-IT
TN155,Electrician,Skilled Trade,Trichy,Electrical Wiring;License,Senior,57690,94,Infosys,Full-Time,Bachelor's,Marketing,Yes,Non-IT
TN156,Pharmacist,Healthcare,Trichy,Pharmacy Degree;Licensing,Entry,27309,137,Amazon,Internship,PhD,Healthcare,No,Non-IT
TN157,Accountant,Finance,Thanjavur,Tally;GST;Excel,Entry,27519,90,TVS Motors,Part-Time,PhD,Media,Yes,Non-IT
TN158,Content Writer,Media,Salem,Writing;SEO;Grammar,Mid,29328,87,Cognizant,Full-Time,Not Specified,Media,No,Non-IT
TN159,Accountant,Finance,Erode,Tally;GST;Excel,Mid,38176,56,HDFC Bank,Full-Time,Bachelor's,Healthcare,Yes,Non-IT
TN160,AI Engineer,IT,Vellore,Python;ML;TensorFlow,Senior,69883,82,HDFC Bank,Full-Time,Bachelor's,Finance,No,IT
TN161,Logistics Coordinator,Transport,Thanjavur,Inventory;Coordination,Entry,19885,123,BYJU'S,Part-Time,Not Specified,Finance,No,Non-IT
TN162,Nurse,Healthcare,Coimbatore,Patient Care;Nursing Degree,Senior,57544,122,Amazon,Internship,Not Specified,Marketing,No,Non-IT
TN163,Sales Executive,Retail,Trichy,Communication;CRM,Mid,32062,134,Amazon,Internship,Diploma,Healthcare,Yes,Non-IT
TN164,Civil Engineer,Construction,Tuticorin,AutoCAD;Project Mgmt,Entry,20781,132,Cognizant,Contract,Not Specified,Information Technology,Yes,Non-IT
TN165,Accountant,Finance,Erode,Tally;GST;Excel,Mid,32364,112,Infosys,Internship,Not Specified,Finance,Yes,Non-IT
TN166,Data Analyst,IT,Coimbatore,Python;SQL;Excel,Mid,29734,131,BYJU'S,Contract,PhD,Engineering,Yes,IT
TN167,Mechanical Engineer,Manufacturing,Coimbatore,CAD;SolidWorks,Mid,39525,116,BYJU'S,Full-Time,Master's,Construction,No,Non-IT
TN168,Content Writer,Media,Salem,Writing;SEO;Grammar,Senior,52897,119,Amazon,Part-Time,Bachelor's,Marketing,Yes,Non-IT
TN169,Mechanical Engineer,Manufacturing,Chennai,CAD;SolidWorks,Senior,49765,123,Cognizant,Contract,Master's,Healthcare,Yes,Non-IT
TN170,Web Developer,IT,Salem,HTML;CSS;JavaScript,Entry,24560,147,Infosys,Contract,Bachelor's,Media,No,IT
TN171,AI Engineer,IT,Trichy,Python;ML;TensorFlow,Mid,38940,101,Apollo Hospitals,Part-Time,Diploma,Transport,Yes,IT
TN172,Sales Executive,Retail,Tiruppur,Communication;CRM,Entry,23166,83,TVS Motors,Internship,Bachelor's,Engineering,Yes,Non-IT
TN173,Mechanical Engineer,Manufacturing,Thanjavur,CAD;SolidWorks,Entry,20989,142,TVS Motors,Full-Time,Diploma,Media,No,Non-IT
TN174,Web Developer,IT,Salem,HTML;CSS;JavaScript,Mid,32341,77,BYJU'S,Part-Time,Not Specified,Finance,No,IT
TN175,Content Writer,Media,Tuticorin,Writing;SEO;Grammar,Entry,20039,55,BYJU'S,Full-Time,Diploma,Retail,No,Non-IT
TN176,HR Executive,Corporate,Madurai,HRMS;Recruitment,Senior,52609,73,BYJU'S,Full-Time,Master's,Engineering,No,Non-IT
TN177,Logistics Coordinator,Transport,Vellore,Inventory;Coordination,Senior,65592,137,HDFC Bank,Contract,Master's,Education,Yes,Non-IT
TN178,Logistics Coordinator,Transport,Erode,Inventory;Coordination,Senior,65506,121,Amazon,Full-Time,Not Specified,Information Technology,Yes,Non-IT
TN179,AI Engineer,IT,Thanjavur,Python;ML;TensorFlow,Senior,67748,90,TCS,Contract,Bachelor's,Information Technology,No,IT
TN180,AI Engineer,IT,Trichy,Python;ML;TensorFlow,Senior,62623,54,HDFC Bank,Internship,Diploma,Information Technology,Yes,IT
TN181,HR Executive,Corporate,Chennai,HRMS;Recruitment,Entry,18217,142,Amazon,Internship,Master's,Media,Yes,Non-IT
TN182,Mechanical Engineer,Manufacturing,Thanjavur,CAD;SolidWorks,Entry,20323,57,L&T,Full-Time,PhD,Healthcare,Yes,Non-IT
TN183,Content Writer,Media,Tiruppur,Writing;SEO;Grammar,Senior,54351,67,Amazon,Part-Time,Master's,Finance,No,Non-IT
TN184,Accountant,Finance,Salem,Tally;GST;Excel,Entry,20745,117,TCS,Internship,Diploma,Finance,Yes,Non-IT
TN185,Mechanical Engineer,Manufacturing,Trichy,CAD;SolidWorks,Entry,26685,54,Infosys,Internship,PhD,Education,Yes,Non-IT
TN186,Digital Marketer,Marketing,Coimbatore,SEO;Google Ads;Content,Mid,37749,97,Infosys,Internship,Master's,Media,No,Non-IT
TN187,Nurse,Healthcare,Chennai,Patient Care;Nursing Degree,Entry,19223,70,HDFC Bank,Full-Time,PhD,Retail,No,Non-IT
TN188,Digital Marketer,Marketing,Coimbatore,SEO;Google Ads;Content,Entry,26495,134,L&T,Full-Time,Not Specified,Transport,Yes,Non-IT
TN189,AI Engineer,IT,Vellore,Python;ML;TensorFlow,Mid,30343,56,Amazon,Part-Time,Master's,Media,No,IT
TN190,Electrician,Skilled Trade,Trichy,Electrical Wiring;License,Mid,32426,96,L&T,Part-Time,PhD,Engineering,Yes,Non-IT
TN191,Digital Marketer,Marketing,Thanjavur,SEO;Google Ads;Content,Entry,19216,132,Zoho,Internship,Bachelor's,Engineering,Yes,Non-IT
TN192,Sales Executive,Retail,Salem,Communication;CRM,Mid,30851,51,Zoho,Internship,Bachelor's,Education,Yes,Non-IT
TN193,Pharmacist,Healthcare,Vellore,Pharmacy Degree;Licensing,Senior,48614,77,Cognizant,Full-Time,Diploma,Engineering,Yes,Non-IT
TN194,Data Analyst,IT,Tiruppur,Python;SQL;Excel,Mid,38013,87,TCS,Full-Time,Not Specified,Transport,No,IT
TN195,Logistics Coordinator,Transport,Salem,Inventory;Coordination,Entry,18219,72,Cognizant,Internship,Master's,Engineering,No,Non-IT
TN196,Civil Engineer,Construction,Salem,AutoCAD;Project Mgmt,Entry,22374,83,Apollo Hospitals,Part-Time,Diploma,Healthcare,No,Non-IT
TN197,Content Writer,Media,Trichy,Writing;SEO;Grammar,Entry,21764,96,L&T,Contract,PhD,Education,No,Non-IT
TN198,Data Analyst,IT,Thanjavur,Python;SQL;Excel,Entry,25443,67,Amazon,Contract,Bachelor's,Education,No,IT
TN199,AI Engineer,IT,Salem,Python;ML;TensorFlow,Senior,69028,97,L&T,Part-Time,PhD,Healthcare,No,IT
TN200,Pharmacist,Healthcare,Trichy,Pharmacy Degree;Licensing,Mid,35508,96,BYJU'S,Contract,Not Specified,Retail,Yes,Non-IT
